Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/aircraft,2712,0,6700.0,6505.856993622418,4.967085999965093,10545.259038999917,257.0,11.228311763064001,0.0,6800,7700,8100,8300,9000,9400,9800,10000,10000,11000,11000
GET,/flights,18980,2,6800.0,6501.11624154798,8.192324999981793,10504.556799000056,71200.49652265542,78.58162140964409,0.008280465901964603,6800,7700,8200,8400,9000,9400,9800,10000,10000,10000,11000
GET,/routes,5315,0,6800.0,6472.2939329748015,4.011739000020498,10496.12236400003,791.0,22.005338134470932,0.0,6800,7700,8100,8300,9000,9300,9800,10000,10000,10000,10000
,Aggregated,27007,2,6800.0,6495.92004610081,4.011739000020498,10545.259038999917,50219.816084718776,111.81527130717902,0.008280465901964603,6800,7700,8100,8300,9000,9400,9800,10000,10000,11000,11000
